genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Dermea,plant_pathogen,,
Gelatinoamylaria,litter_saprotroph,,
Leptothyrium,plant_pathogen,,
Neofabraea,plant_pathogen,,
Parafabraea,foliar_endophyte,,
Pezicula,root_endophyte,,
Phlyctema,plant_pathogen,,
Pseudofabraea,plant_pathogen,,
Pseudotryblidium,wood_saprotroph,,
Rhizodermea,root_endophyte,,
Schizothyrioma,litter_saprotroph,,
Verkleyomyces,foliar_endophyte,,
Pseudopeziza,plant_pathogen,,
Gelatinodiscus,litter_saprotroph,,
Ombrophila,wood_saprotroph,,
Brachyalara,mycoparasite,,
Ciliolarina,wood_saprotroph,,
Gremmenia,plant_pathogen,,
Hamatocanthoscypha,wood_saprotroph,,
Infundichalara,litter_saprotroph,,
Microscypha,litter_saprotroph,,
Pseudohelotium,litter_saprotroph,,
Xenochalara,litter_saprotroph,,
Xenopolyscytalum,litter_saprotroph,,
Bisporella,wood_saprotroph,,
Brunaudia,litter_saprotroph,,
Bulgariella,wood_saprotroph,,
Dimorphospora,litter_saprotroph,,
Helicodendron,litter_saprotroph,,
Helicorhoidion,,,
Neocrinula,litter_saprotroph,,
Scytalidium,wood_saprotroph,,
Xylogone,mycoparasite,,
Acidea,soil_saprotroph,,
Acidomelania,root_endophyte,,
Algincola,wood_saprotroph,,
Angelina,wood_saprotroph,,
Apiculospora,litter_saprotroph,,
Aquadiscula,litter_saprotroph,,
Belonioscyphella,litter_saprotroph,,
Benguetia,plant_pathogen,,
Bioscypha,plant_pathogen,,
Bulgariopsis,wood_saprotroph,,
Cairneyella,root_endophyte,,
Calycellinopsis,litter_saprotroph,,
Capillipes,litter_saprotroph,,
Capricola,unspecified_saprotroph,,
Cashiella,litter_saprotroph,,
Cejpia,litter_saprotroph,,
Cenangiumella,litter_saprotroph,,
Chloroepilichen,lichen_parasite,,
Chlorospleniella,litter_saprotroph,,
Chondroderris,litter_saprotroph,,
Ciliella,litter_saprotroph,,
Cistella,wood_saprotroph,,
Coleosperma,litter_saprotroph,,
Comesia,unspecified_saprotroph,,
Cornuntum,unspecified_saprotroph,,
Coronellaria,litter_saprotroph,,
Criserosphaeria,unspecified_saprotroph,,
Crocicreas,litter_saprotroph,,
Crucellisporium,litter_saprotroph,,
Crumenella,litter_saprotroph,,
Cryptohymenium,soil_saprotroph,,
Cryptopezia,unspecified_saprotroph,,
Dactylaria,animal_parasite,,
Dawsicola,litter_saprotroph,,
Dermateopsis,wood_saprotroph,,
Didonia,wood_saprotroph,,
Didymascella,plant_pathogen,,
Discomycella,litter_saprotroph,,
Durella,wood_saprotroph,,
Echinodiscus,lichen_parasite,,
Episclerotium,mycoparasite,,
Erikssonopsis,litter_saprotroph,,
Fulvoflamma,plant_pathogen,,
Gloeopeziza,plant_pathogen,,
Godroniopsis,plant_pathogen,,
Gorgoniceps,wood_saprotroph,,
Grimmicola,plant_pathogen,,
Grovesia,wood_saprotroph,,
Humicolopsis,soil_saprotroph,,
Hymenobolus,litter_saprotroph,,
Hyphoscypha,wood_saprotroph,,
Hysteronaevia,litter_saprotroph,,
Hysteropezizella,litter_saprotroph,,
Hysterostegiella,litter_saprotroph,,
Involucroscypha,wood_saprotroph,,
Jacobsonia,wood_saprotroph,,
Korfia,litter_saprotroph,,
Laetinaevia,litter_saprotroph,,
Lasseria,wood_saprotroph,,
Leohumicola,soil_saprotroph,,
Livia,unspecified_saprotroph,,
Masseea,wood_saprotroph,,
Melanopeziza,,,
Microdiscus,wood_saprotroph,,
Monochaetiellopsis,litter_saprotroph,,
Mycoarthris,litter_saprotroph,,
Mycosphaerangium,wood_saprotroph,,
Obconicum,litter_saprotroph,,
Obscurodiscus,litter_saprotroph,,
Orbiliopsis,plant_pathogen,,
Parencoelia,litter_saprotroph,,
Peltigeromyces,wood_saprotroph,,
Pezolepis,plant_pathogen,,
Pezomela,plant_pathogen,,
Phaeofabraea,litter_saprotroph,,
Pleoscutula,lichen_parasite,,
Podophacidium,litter_saprotroph,,
Polydesmia,wood_saprotroph,,
Polyphilus,unspecified_saprotroph,,
Potridiscus,litter_saprotroph,,
Pseudolachnum,wood_saprotroph,,
Pseudopeltis,litter_saprotroph,,
