OTU_ID,Bal1,Bal5,Bal6,Bal8,CC10,CC7,CC8,Can2,DY1,Bal2,Bal3,Bal4,Bal7,CC2,DY3,Bal11,Bal9,CC1,Can1,DP2,DP3,DP4,DP6,DP7,DY2,DY5,DY4,CC3,CC9,DY6,Bal10,DP5,CC11,CC4,DP1,DY7,Can5,Can6,Can3,Can4
0abeb0622c9f06193299e0c41e2177803c70e6a5,0,0,0,0,0,0,0,280,0,0,2047,0,0,0,0,0,0,0,0,1001,7129,725,1450,309,0,0,0,0,0,0,0,28256,0,0,0,0,183,10961,388,0
3c34c2ba24dee0a357597aeedd6ff7bef48c6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48366,0
e222e8e8675b3df89ae8642300a4552053200c62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003,0,44994,208
e2e0473c2b318e73339fb75effceb5ea0e320e54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47957,0,99,0
51bbbff2020dd95b675b96b29281f5e71ed3b62b,0,0,0,0,0,0,47782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aedeccb9b23286de14d729590a09e7d318519a64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47131,0,0,0,0,0,0,0
17b02baf4a11dd2dddf91e7801a2270f02fb6c5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,32021,14000,0,0
9d332cb344fcb6fac2dd3188f380d371f0b19ee9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46637,0,0,0,0,0,0,0,0,0,0,0,0
f77e63572532fa596e83efd90cee9b9c1d4912ca,0,0,0,10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33647,0,0,2554,0,0,0,0,0,91,0,0,0,0
1e3216570f7308ec621cecd19a7c63e7bcbd6564,0,0,0,0,0,0,0,0,0,46192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
