OTU_ID,Bal1,Bal10,Bal11,Bal2,Bal3,Bal4,Bal5,Bal6,Bal7,Bal8,Bal9,CC1,CC10,CC11,CC2,CC3,CC4,CC7,CC8,CC9,Can1,Can2,Can3,Can4,Can5,Can6,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DY1,DY2,DY3,DY4,DY5,DY6,DY7
51bbbff2020dd95b675b96b29281f5e71ed3b62b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54d47c3a9fc3d710ea5e36e6ff4496f781c281e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
562e3dd68b89cde30bae2e78211cde2454ea6170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24348,0,1520,258,0,0
5889fd5a960a6700e678a84cd44526bfdbba6922,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d5c49e1ebc78ea3df4b0a95a33f230354cf3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5db3bce9bfb7fc22dcaa2d406b73870030921a13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5df152eb6ba25a29981103762bf0a05bbfd49078,0,2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609d645edba1eed96a729b3e966f70c20d5b2f19,0,0,0,0,0,0,0,0,0,0,0,44218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6471347a809e4cc2038042d7120bc51f4df7a9a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67056c7aa8e48487ae679a7c910271fc15aa32b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,4919,0,0,0,0,0,0,0,0,0,0,0,0,0
6951682921629f0b512abd7ddedf1b76511c3122,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b0722ad220166ce06cb4bbad11b4c2d4e60cf5d,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d9b46952a580a778e09a91a4250807cfdc16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e42eb96bac7710d0474a57947775e64f067882c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
734a727699666554c31f99dc32763d45260ac3a7,0,6743,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7376580a40d847d164d970b840f3fe4f6cb6661e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17880,6696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761a0cab6bbc9c69779f4e7a8e1a85676356987b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a3f476a3db6c42374745d40ed5e634cc171102b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13494,0,0,23,0,0,0,0,0,0,0,0,0,0,0
7f95f0ad1d57f3f8244a91627028ab1626ff547e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7fac048c0775e1afab70ae254206608d4ef760f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46033,0,0,0
85415fa174afc78e36fef6290c53503a6a3051b2,0,75510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
